id,target,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
649,1,Male,Loyal Customer,68,Personal Travel,Eco,2971,0,5,0,3,2,0,2,2,3,1,5,5,1,2,1,0.0
716,1,Male,Loyal Customer,61,Personal Travel,Eco,4124,0,5,0,4,4,0,4,4,5,5,3,3,5,4,2,0.0
779,1,Male,Loyal Customer,8,Personal Travel,Eco,1359,0,5,0,5,3,0,3,3,4,3,1,1,1,3,0,0.0
875,0,Male,Loyal Customer,59,Personal Travel,Eco,2804,1,0,1,3,4,1,4,4,4,2,5,3,4,4,0,0.0
887,1,Female,Loyal Customer,66,Personal Travel,Eco,763,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,20.0
951,1,Female,Loyal Customer,10,Personal Travel,Eco,1187,0,3,0,5,3,0,3,3,5,3,1,1,5,3,6,1.0
967,1,Female,Loyal Customer,56,Personal Travel,Eco,263,0,4,0,1,3,4,4,2,2,0,2,5,2,3,0,3.0
1010,0,Male,Loyal Customer,42,Personal Travel,Eco,1823,1,1,0,3,1,0,1,1,1,2,3,4,4,1,0,5.0
1036,1,Female,Loyal Customer,42,Personal Travel,Eco,2549,0,4,0,3,5,0,5,5,5,3,5,5,5,5,18,0.0
1126,1,Female,Loyal Customer,11,Personal Travel,Eco,2025,0,4,1,2,3,4,4,1,1,1,1,4,1,5,46,47.0
1145,0,Male,Loyal Customer,64,Personal Travel,Eco,1013,1,1,1,2,4,1,4,4,4,5,3,1,3,4,0,2.0
1151,1,Female,Loyal Customer,15,Personal Travel,Eco,1734,0,5,0,1,3,5,4,4,4,0,4,5,4,5,0,0.0
1156,1,Female,Loyal Customer,56,Personal Travel,Eco,60,0,5,0,1,1,0,1,1,3,4,4,3,5,1,0,0.0
1172,1,Female,Loyal Customer,60,Personal Travel,Eco Plus,2502,0,5,0,2,3,0,5,3,5,3,4,5,3,3,0,0.0
1207,0,Male,Loyal Customer,27,Personal Travel,Eco,3220,1,1,1,3,1,1,1,1,4,1,3,2,3,1,0,12.0
1221,0,Male,Loyal Customer,60,Personal Travel,Eco,2084,1,1,1,3,1,1,1,1,2,5,4,4,4,1,0,0.0
1226,0,Male,Loyal Customer,41,Personal Travel,Eco,2660,1,1,1,3,1,1,1,1,1,1,3,4,3,1,0,0.0
1252,0,Male,Loyal Customer,69,Personal Travel,Eco,2250,1,1,1,3,4,1,4,4,3,4,3,4,4,4,2,0.0
1258,1,Female,Loyal Customer,45,Personal Travel,Eco,873,0,5,0,4,3,4,4,3,3,0,3,4,3,4,0,0.0
1449,1,Female,Loyal Customer,15,Personal Travel,Eco,2607,4,2,4,4,1,4,3,5,5,4,2,1,5,2,0,0.0
1483,1,Female,Loyal Customer,40,Personal Travel,Eco,2126,4,2,4,4,5,4,5,5,1,1,4,2,4,5,13,15.0
1501,1,Female,Loyal Customer,36,Personal Travel,Eco Plus,1940,4,3,4,3,5,4,5,5,3,2,2,3,2,5,42,57.0
1523,0,Male,Loyal Customer,20,Personal Travel,Eco,1647,1,1,1,4,4,1,2,4,1,3,3,3,3,4,0,0.0
1574,0,Male,Loyal Customer,35,Personal Travel,Eco,3493,1,1,2,3,1,2,1,1,4,5,2,3,3,1,1,5.0
1700,0,Male,Loyal Customer,47,Personal Travel,Eco,1874,1,2,1,2,2,1,2,2,2,5,2,3,3,2,0,0.0
1702,1,Female,Loyal Customer,52,Personal Travel,Business,982,4,4,4,3,4,1,1,3,3,3,4,1,3,1,34,48.0
1704,0,Male,Loyal Customer,65,Personal Travel,Eco,1991,1,2,1,2,3,1,1,3,2,5,3,4,3,3,5,4.0
1733,0,Male,Loyal Customer,63,Personal Travel,Eco,1940,1,2,1,2,4,1,4,4,3,1,3,3,3,4,0,0.0
1745,1,Female,Loyal Customer,15,Personal Travel,Eco,1814,4,4,4,3,5,4,5,5,3,4,4,4,4,5,19,14.0
1751,0,Male,Loyal Customer,54,Personal Travel,Eco,4088,1,2,1,3,1,4,4,3,2,3,3,4,3,4,0,3.0
1790,1,Female,Loyal Customer,65,Personal Travel,Eco,1578,4,4,4,3,2,4,2,2,1,5,3,4,4,2,122,99.0
1924,0,Male,Loyal Customer,54,Personal Travel,Eco Plus,1661,1,2,1,3,1,1,1,1,3,3,2,3,3,1,0,0.0
1940,0,Male,Loyal Customer,48,Personal Travel,Eco,1818,1,2,1,3,5,1,5,5,1,5,4,1,3,5,0,0.0
1944,0,Male,Loyal Customer,21,Personal Travel,Business,1807,1,2,1,3,3,1,3,3,1,5,3,2,3,3,0,0.0
1992,0,Male,Loyal Customer,16,Personal Travel,Eco,1945,1,2,1,3,3,1,3,3,1,1,4,2,3,3,0,0.0
2055,0,Male,Loyal Customer,54,Personal Travel,Eco,2880,1,2,1,4,5,1,5,5,2,3,4,3,4,5,2,0.0
2059,1,Female,Loyal Customer,48,Personal Travel,Eco,1585,4,5,4,2,4,4,5,1,1,4,1,3,1,5,0,0.0
2096,0,Male,Loyal Customer,44,Personal Travel,Eco,2310,1,2,1,4,5,1,5,5,3,3,3,1,4,5,0,12.0
2189,1,Female,Loyal Customer,26,Personal Travel,Eco,1730,4,5,4,3,1,4,1,1,1,5,2,2,2,1,7,8.0
2245,0,Male,Loyal Customer,55,Personal Travel,Eco Plus,969,1,2,1,4,4,1,4,4,2,3,4,4,3,4,64,64.0
2290,1,Female,Loyal Customer,31,Personal Travel,Business,3054,5,0,5,1,4,5,4,4,3,2,4,5,5,4,12,2.0
2307,0,Male,Loyal Customer,41,Personal Travel,Eco,1869,1,2,3,4,5,3,4,5,1,3,4,4,4,5,52,48.0
2375,1,Female,Loyal Customer,32,Personal Travel,Eco,3044,5,1,5,4,3,4,4,1,1,5,1,4,1,1,0,0.0
2495,1,Female,Loyal Customer,8,Personal Travel,Eco,2793,5,2,5,4,2,5,2,2,4,3,4,2,4,2,0,0.0
2505,1,Female,Loyal Customer,49,Personal Travel,Eco,909,5,2,5,4,2,4,4,4,4,5,4,4,4,1,0,0.0
2514,0,Male,Loyal Customer,32,Personal Travel,Eco,1604,1,3,1,2,5,1,5,5,1,3,3,4,3,5,11,11.0
2589,0,Male,Loyal Customer,24,Personal Travel,Eco,3491,1,3,1,3,1,5,5,1,5,3,4,5,2,5,0,0.0
2617,1,Female,Loyal Customer,61,Personal Travel,Eco,1261,5,4,1,1,3,3,5,3,3,1,3,1,3,2,0,0.0
2730,0,Male,Loyal Customer,53,Personal Travel,Eco,1207,1,3,1,3,4,1,4,4,1,5,3,3,3,4,0,0.0
2747,1,Female,Loyal Customer,27,Personal Travel,Eco,1419,5,4,5,3,5,4,4,4,4,5,5,5,4,5,104,126.0
2783,1,Female,Loyal Customer,45,Personal Travel,Eco,385,5,4,5,3,4,5,4,4,4,5,5,4,4,4,0,17.0
2853,0,Male,Loyal Customer,55,Personal Travel,Eco,1647,1,3,1,3,5,1,5,5,5,3,4,3,5,5,0,0.0
2858,1,Female,Loyal Customer,65,Personal Travel,Eco Plus,450,5,4,5,4,1,5,1,1,3,3,4,3,4,1,0,17.0
2870,1,Female,Loyal Customer,21,Personal Travel,Eco,3217,5,4,5,4,3,5,3,3,3,5,5,5,4,3,0,0.0
2888,0,Male,Loyal Customer,58,Personal Travel,Eco,2520,1,3,1,4,5,1,5,5,4,2,4,3,3,5,4,31.0
2910,1,Female,Loyal Customer,60,Personal Travel,Eco,1066,5,4,5,5,2,5,2,2,5,4,5,5,4,2,53,77.0
2933,1,Female,Loyal Customer,22,Personal Travel,Eco,2488,5,5,3,3,4,3,2,4,2,2,3,3,5,4,0,4.0
2986,1,Female,Loyal Customer,23,Personal Travel,Eco,1966,5,5,5,1,3,5,3,3,5,5,4,5,5,3,50,40.0
3056,0,Male,Loyal Customer,62,Personal Travel,Eco,1271,1,3,1,4,2,1,2,2,2,2,3,4,3,2,0,0.0
3073,0,Male,Loyal Customer,64,Personal Travel,Eco,2087,1,3,1,5,1,1,3,1,5,3,2,4,3,1,4,0.0
3149,1,Female,Loyal Customer,65,Personal Travel,Eco,449,5,5,5,3,2,4,5,3,3,5,3,3,3,3,4,7.0
3166,0,Male,Loyal Customer,11,Personal Travel,Business,3158,1,4,0,1,2,0,2,2,3,4,4,5,5,2,21,13.0
3179,1,Female,Loyal Customer,11,Personal Travel,Eco,2170,5,5,5,3,3,5,4,4,4,5,2,5,4,3,0,6.0
3283,1,Female,Loyal Customer,70,Personal Travel,Eco,116,0,0,0,1,1,0,1,1,5,4,2,5,3,1,0,2.0
3288,0,Male,Loyal Customer,62,Personal Travel,Eco Plus,2675,1,4,0,4,2,0,2,2,5,2,5,5,4,2,0,1.0
3338,0,Male,Loyal Customer,17,Personal Travel,Eco Plus,4082,1,4,1,1,1,3,3,3,4,4,4,3,4,3,10,0.0
3362,1,Female,Loyal Customer,18,Personal Travel,Eco,3529,0,0,0,1,1,3,2,1,1,1,1,4,1,1,0,0.0
3423,0,Male,Loyal Customer,32,Personal Travel,Business,2266,1,4,1,1,4,1,4,4,4,3,4,4,4,4,7,0.0
3528,1,Female,Loyal Customer,29,Personal Travel,Eco Plus,2215,0,0,0,2,2,5,5,1,1,1,1,3,1,3,0,0.0
3541,1,Female,Loyal Customer,67,Personal Travel,Eco,666,0,0,0,3,5,2,2,4,4,4,4,1,4,2,0,33.0
3758,0,Male,Loyal Customer,30,Personal Travel,Eco,3468,1,4,1,2,1,1,1,5,3,4,4,1,4,1,978,970.0
3771,0,Male,Loyal Customer,54,Personal Travel,Eco,2446,1,4,1,2,3,1,3,3,3,4,5,4,5,3,0,1.0
3839,0,Male,Loyal Customer,64,Personal Travel,Eco,2048,1,4,1,2,3,1,3,3,5,1,5,4,5,3,2,0.0
3897,0,Male,Loyal Customer,51,Personal Travel,Eco,2431,1,4,1,2,3,1,3,3,5,5,4,5,4,3,13,29.0
3922,0,Male,Loyal Customer,25,Personal Travel,Eco,1532,1,4,1,2,1,1,1,1,4,5,4,3,4,1,28,27.0
3932,1,Female,Loyal Customer,52,Personal Travel,Eco,597,0,0,0,5,2,5,5,5,5,5,5,3,5,5,102,87.0
3940,0,Male,Loyal Customer,32,Personal Travel,Business,2199,1,4,1,2,5,1,5,5,5,2,5,3,4,5,1,0.0
4033,0,Male,Loyal Customer,64,Personal Travel,Eco,1818,1,4,1,2,5,1,5,5,3,3,4,5,4,5,0,0.0
4044,0,Male,Loyal Customer,16,Personal Travel,Eco,1184,1,4,1,2,2,1,2,2,4,3,5,4,4,2,0,0.0
4049,0,Male,Loyal Customer,34,Personal Travel,Eco,1692,1,4,1,2,2,1,2,2,5,4,5,3,5,2,17,8.0
4147,0,Male,Loyal Customer,53,Personal Travel,Eco,3191,1,4,1,3,3,1,2,3,5,5,5,3,4,3,19,0.0
4166,1,Female,Loyal Customer,52,Personal Travel,Eco,1522,0,4,0,3,4,0,4,4,3,3,5,3,2,4,0,0.0
4270,0,Male,Loyal Customer,15,Personal Travel,Eco,2942,1,4,1,3,4,1,4,4,4,2,4,4,4,4,0,0.0
4286,1,Female,Loyal Customer,47,Personal Travel,Eco,999,0,5,0,1,5,5,4,5,5,5,5,3,5,3,0,0.0
4308,1,Female,Loyal Customer,52,Personal Travel,Eco,956,0,5,0,1,3,2,3,5,5,5,5,1,5,2,0,0.0
4347,1,Female,Loyal Customer,13,Personal Travel,Eco,2380,0,5,0,2,3,0,3,3,5,1,4,1,2,3,21,35.0
4351,1,Female,Loyal Customer,15,Personal Travel,Eco,1867,0,5,0,2,2,3,1,5,5,5,5,4,5,3,0,0.0
4452,1,Female,Loyal Customer,17,Personal Travel,Eco,1572,0,5,0,4,4,4,4,1,1,1,1,3,1,3,0,0.0
4477,1,Female,Loyal Customer,39,Personal Travel,Business,613,0,5,1,2,1,2,4,5,5,5,5,1,5,4,9,29.0
4491,0,Male,Loyal Customer,62,Personal Travel,Eco,2049,1,4,1,3,1,1,4,1,5,4,4,5,5,1,7,0.0
4512,0,Male,Loyal Customer,38,Personal Travel,Eco,2085,1,4,1,3,3,1,3,3,4,5,4,5,5,3,29,35.0
4536,0,Male,Loyal Customer,18,Personal Travel,Eco,1705,1,4,1,3,1,1,1,1,4,4,3,1,4,1,31,7.0
4655,1,Female,Loyal Customer,33,Personal Travel,Eco,1273,1,1,1,1,4,4,4,2,2,2,2,3,2,4,20,19.0
4704,1,Female,Loyal Customer,14,Personal Travel,Business,1737,4,4,4,4,5,4,5,2,2,2,2,4,2,4,0,0.0
4726,1,Female,Loyal Customer,27,Personal Travel,Eco,1691,2,5,4,5,5,3,3,2,2,2,2,2,2,5,0,0.0
4727,0,Female,Loyal Customer,45,Personal Travel,Eco,1913,1,4,1,3,1,5,5,1,2,3,3,5,4,5,125,158.0
4750,1,Female,Loyal Customer,19,Personal Travel,Eco,1523,1,1,1,1,4,5,5,2,2,2,2,1,2,5,14,7.0
4792,0,Male,Loyal Customer,61,Personal Travel,Eco Plus,3690,1,4,1,4,2,1,2,2,4,2,2,5,5,2,3,0.0
4798,1,Female,Loyal Customer,30,Personal Travel,Eco,3568,1,1,1,1,2,5,2,2,2,2,2,5,2,5,54,32.0
4826,1,Female,Loyal Customer,39,Personal Travel,Eco,3040,1,1,2,1,4,5,4,2,2,2,2,4,2,4,0,0.0
4863,1,Female,Loyal Customer,21,Personal Travel,Eco,2210,3,3,3,3,4,5,5,2,2,2,2,3,2,3,0,0.0
4953,1,Female,Loyal Customer,42,Personal Travel,Eco,951,3,3,3,3,4,5,4,2,2,2,2,5,2,5,11,2.0
4955,0,Male,Loyal Customer,70,Personal Travel,Eco,2050,1,4,1,4,1,1,1,1,4,1,3,1,3,1,0,0.0
5012,1,Female,Loyal Customer,24,Personal Travel,Eco,2014,2,2,2,2,5,5,5,2,2,2,2,4,2,5,0,0.0
5014,1,Female,Loyal Customer,37,Personal Travel,Eco,2359,5,5,5,5,2,2,2,2,4,3,4,3,4,2,0,4.0
5062,0,Male,Loyal Customer,42,Personal Travel,Eco,1658,1,4,1,4,3,1,2,3,3,5,4,4,5,3,61,80.0
5079,1,Female,Loyal Customer,22,Personal Travel,Eco,2042,5,5,5,5,2,4,5,2,2,2,2,3,2,5,1,0.0
5080,1,Female,Loyal Customer,43,Personal Travel,Eco,633,2,5,5,5,2,2,2,2,4,2,2,5,4,2,0,0.0
5146,1,Female,Loyal Customer,17,Personal Travel,Eco,1651,2,2,5,2,3,4,4,2,2,2,2,5,2,5,0,0.0
5156,1,Female,Loyal Customer,10,Personal Travel,Eco Plus,1169,3,3,3,3,2,2,2,2,5,2,5,3,4,2,0,0.0
5179,1,Female,Loyal Customer,65,Personal Travel,Eco,382,2,5,5,5,4,1,2,2,2,2,2,3,2,2,21,20.0
5182,0,Male,Loyal Customer,50,Personal Travel,Eco,1257,1,4,1,4,1,1,1,1,5,5,4,4,4,1,0,0.0
5210,0,Male,Loyal Customer,70,Personal Travel,Eco Plus,1587,1,4,1,4,2,1,2,2,3,5,4,3,4,2,0,0.0
5237,0,Male,Loyal Customer,24,Personal Travel,Eco,1560,1,4,1,4,1,1,1,1,5,3,5,3,5,1,1,10.0
5242,1,Female,Loyal Customer,26,Personal Travel,Eco,1263,5,5,5,5,4,5,5,2,2,2,2,4,2,5,0,0.0
5428,1,Female,Loyal Customer,16,Personal Travel,Eco Plus,1978,3,3,3,3,2,4,4,2,2,2,2,5,2,4,17,13.0
5444,0,Male,Loyal Customer,33,Personal Travel,Eco,1380,1,4,1,5,1,1,1,1,3,2,5,3,4,1,0,0.0
5621,0,Female,Loyal Customer,47,Personal Travel,Eco,2520,1,4,2,5,2,4,4,3,5,4,5,4,3,4,7,137.0
5656,1,Female,Loyal Customer,24,Personal Travel,Eco,1452,2,1,1,1,5,2,4,2,2,2,2,3,2,1,0,0.0
5736,1,Female,Loyal Customer,29,Personal Travel,Eco Plus,1807,2,5,5,5,2,2,2,2,1,5,1,5,5,2,0,0.0
5744,0,Male,Loyal Customer,56,Personal Travel,Eco,1390,1,5,0,1,4,0,4,4,4,2,5,4,5,4,42,46.0
5751,0,Male,Loyal Customer,7,Personal Travel,Eco,1568,1,5,0,1,4,0,4,4,3,2,3,3,4,4,69,84.0
5759,1,Female,Loyal Customer,13,Personal Travel,Eco,2735,4,4,4,4,2,4,5,2,2,2,2,5,2,5,0,0.0
5760,1,Female,Loyal Customer,35,Personal Travel,Eco,1862,5,5,5,5,3,4,5,2,2,2,2,3,2,5,0,0.0
5795,0,Male,Loyal Customer,63,Personal Travel,Eco,2984,1,5,0,3,2,0,2,2,4,2,5,4,4,2,0,0.0
5845,1,Female,Loyal Customer,16,Personal Travel,Eco,2819,1,1,1,1,1,3,1,2,2,2,2,3,2,5,0,0.0
5944,0,Male,Loyal Customer,12,Personal Travel,Eco,2544,1,5,1,1,4,1,4,4,5,3,4,3,5,4,0,0.0
6065,1,Female,Loyal Customer,20,Personal Travel,Eco,2125,2,1,1,1,2,3,2,2,5,1,2,5,3,2,0,0.0
6095,0,Male,Loyal Customer,31,Personal Travel,Eco,2012,1,5,1,1,5,1,5,5,5,2,5,5,4,5,0,0.0
6123,0,Male,Loyal Customer,65,Personal Travel,Eco,2047,1,5,1,1,4,1,4,4,3,3,4,5,4,4,20,20.0
6133,1,Female,Loyal Customer,8,Personal Travel,Eco Plus,1521,4,4,4,4,5,2,3,3,3,3,3,5,3,2,0,0.0
6185,1,Female,Loyal Customer,54,Personal Travel,Eco Plus,435,2,2,2,2,3,3,3,3,2,2,1,2,4,3,75,73.0
6189,0,Male,Loyal Customer,32,Personal Travel,Eco,1398,1,5,1,1,3,1,2,3,4,4,5,5,5,3,3,26.0
6219,0,Male,Loyal Customer,52,Personal Travel,Eco,1788,1,5,1,1,2,1,2,2,2,3,5,3,3,2,0,0.0
6262,1,Female,Loyal Customer,36,Personal Travel,Eco,2009,4,4,3,4,5,4,5,3,3,3,3,5,3,4,0,0.0
6299,1,Female,Loyal Customer,38,Personal Travel,Eco,1908,4,4,4,4,2,4,4,3,3,3,3,4,3,4,0,0.0
6305,0,Male,Loyal Customer,48,Personal Travel,Eco,4038,1,5,1,2,4,1,4,4,5,5,5,4,4,4,73,48.0
6371,1,Female,Loyal Customer,28,Personal Travel,Eco,2433,3,3,3,3,3,3,3,3,5,2,4,3,5,3,0,0.0
6378,1,Female,Loyal Customer,52,Personal Travel,Eco,1152,4,4,4,4,2,5,4,3,3,3,3,3,3,4,8,5.0
6427,0,Male,Loyal Customer,50,Personal Travel,Eco,2585,1,5,1,2,3,1,3,3,4,5,3,1,3,3,0,0.0
6439,1,Female,Loyal Customer,47,Personal Travel,Eco,858,4,4,4,4,3,4,5,3,3,3,3,5,3,3,0,0.0
6545,0,Male,Loyal Customer,12,Personal Travel,Eco,1730,1,5,1,2,3,1,3,3,3,5,5,4,5,3,1,0.0
6577,0,Male,Loyal Customer,53,Personal Travel,Eco,2284,1,5,1,2,1,1,1,1,3,2,4,3,4,1,0,1.0
6753,1,Female,Loyal Customer,16,Personal Travel,Eco,2853,2,2,2,2,5,4,5,3,3,3,3,4,3,3,22,10.0
6801,1,Female,Loyal Customer,63,Personal Travel,Eco,1333,5,5,5,5,4,4,4,3,3,3,3,3,3,5,7,0.0
6908,0,Male,Loyal Customer,54,Personal Travel,Eco,1626,1,5,1,3,1,1,1,1,5,2,5,5,4,1,12,5.0
6938,0,Male,Loyal Customer,62,Personal Travel,Eco,1816,1,5,1,3,3,1,3,3,5,2,4,4,5,3,20,33.0
7104,0,Male,Loyal Customer,67,Personal Travel,Eco,1773,1,5,1,3,2,1,4,2,4,3,5,4,5,2,0,0.0
7135,1,Female,Loyal Customer,69,Personal Travel,Eco,360,2,2,2,2,3,5,5,3,3,3,3,4,3,3,0,0.0
7283,0,Male,Loyal Customer,31,Personal Travel,Eco,2486,1,5,1,4,1,1,1,1,5,4,5,3,5,1,0,40.0
7352,0,Male,Loyal Customer,43,Personal Travel,Eco Plus,2082,1,5,1,4,4,1,4,4,4,2,4,4,4,4,8,24.0
7374,1,Female,Loyal Customer,15,Personal Travel,Eco,2426,5,5,5,5,3,4,5,4,4,3,4,4,4,5,0,1.0
7381,0,Male,Loyal Customer,54,Personal Travel,Eco,2129,1,5,1,4,3,1,3,3,5,5,4,4,5,3,31,27.0
7423,1,Female,Loyal Customer,33,Personal Travel,Eco,1899,3,3,3,3,2,5,5,3,3,4,3,4,3,4,31,30.0
7466,0,Male,Loyal Customer,9,Personal Travel,Eco,1624,1,5,1,4,3,1,3,3,4,2,5,4,4,3,26,27.0
7470,1,Female,Loyal Customer,68,Personal Travel,Eco,559,1,1,1,1,2,3,5,3,3,4,3,3,3,2,0,0.0
7498,1,Female,Loyal Customer,7,Personal Travel,Eco Plus,1755,4,4,4,4,5,5,4,3,3,4,3,5,3,4,0,6.0
7500,0,Male,Loyal Customer,12,Personal Travel,Eco,1965,1,5,1,4,2,1,2,2,5,3,4,4,3,2,0,1.0
7545,1,Female,Loyal Customer,61,Personal Travel,Eco,382,1,1,5,1,3,4,3,3,5,5,5,3,5,3,0,0.0
7565,1,Female,Loyal Customer,67,Personal Travel,Eco,339,5,5,5,5,3,4,3,3,4,1,1,4,3,3,10,3.0
7660,0,Male,Loyal Customer,47,Personal Travel,Eco,2588,1,5,1,5,5,1,5,5,5,4,4,5,4,5,0,0.0
7709,1,Female,Loyal Customer,47,Personal Travel,Eco,870,2,2,2,2,1,3,1,3,3,4,3,3,3,1,0,0.0
7713,1,Female,Loyal Customer,31,Personal Travel,Business,1911,5,5,5,5,3,4,5,3,3,4,3,3,3,4,36,34.0
7842,1,Female,Loyal Customer,31,Personal Travel,Business,2781,1,1,2,1,4,5,1,3,3,4,3,5,3,2,0,0.0
7883,1,Female,Loyal Customer,54,Personal Travel,Eco,630,3,1,1,1,3,4,3,3,1,1,5,1,4,3,10,11.0
7970,0,Male,Loyal Customer,13,Personal Travel,Eco,2841,1,5,2,5,5,2,5,5,5,3,4,4,4,5,45,30.0
7971,0,Male,Loyal Customer,51,Personal Travel,Eco,1581,1,5,2,5,1,2,1,1,4,4,1,2,2,1,20,14.0
7992,1,Female,Loyal Customer,53,Personal Travel,Eco Plus,491,2,2,2,2,4,5,4,3,3,4,3,4,3,5,22,40.0
7996,0,Male,Loyal Customer,19,Personal Travel,Eco,1990,1,5,3,4,5,3,1,5,4,2,5,5,4,5,12,5.0
8141,0,Male,Loyal Customer,16,Personal Travel,Eco,2389,2,0,2,2,5,2,5,5,3,5,4,5,5,5,0,11.0
8172,0,Male,Loyal Customer,23,Personal Travel,Eco,1513,2,0,2,2,4,2,4,4,5,4,5,5,3,4,0,0.0
8173,0,Male,Loyal Customer,51,Personal Travel,Eco,1754,2,0,2,2,5,2,3,5,3,4,5,3,4,5,38,66.0
8352,1,Female,Loyal Customer,25,Personal Travel,Eco,1528,2,2,2,2,1,1,3,3,3,4,4,3,3,1,0,0.0
8366,0,Male,Loyal Customer,11,Personal Travel,Eco,1485,2,1,0,2,3,0,5,3,1,3,2,1,2,3,1,0.0
8399,0,Male,Loyal Customer,40,Personal Travel,Eco,1293,2,1,1,2,1,1,1,1,3,3,2,1,2,1,0,0.0
8434,1,Female,Loyal Customer,47,Personal Travel,Eco,2809,3,3,3,3,2,4,3,4,4,4,4,4,4,5,0,0.0
8439,0,Male,Loyal Customer,59,Personal Travel,Eco,3492,2,1,2,1,3,2,3,3,1,4,2,1,1,3,0,0.0
8465,0,Male,Loyal Customer,15,Personal Travel,Eco,1954,2,1,2,1,5,2,3,5,3,1,1,1,1,5,0,0.0
8587,0,Male,Loyal Customer,61,Personal Travel,Business,662,2,1,2,2,5,2,3,4,4,2,2,1,4,1,1,0.0
8620,1,Female,Loyal Customer,61,Personal Travel,Eco,506,4,4,4,4,5,4,5,4,4,4,4,4,4,4,0,0.0
8651,0,Male,Loyal Customer,20,Personal Travel,Eco,1439,2,1,2,2,2,2,1,2,4,2,2,1,2,2,14,19.0
8669,0,Male,Loyal Customer,18,Personal Travel,Eco,2052,2,1,2,2,2,2,2,1,5,3,2,2,3,2,84,183.0
8699,0,Male,Loyal Customer,11,Personal Travel,Eco,3557,2,1,2,3,1,2,1,1,3,2,4,2,3,1,0,0.0
8737,0,Male,Loyal Customer,20,Personal Travel,Eco,2530,2,1,2,3,5,2,5,5,1,1,4,2,3,5,0,9.0
8744,0,Male,Loyal Customer,31,Personal Travel,Eco,2450,2,1,2,3,5,2,5,5,1,3,2,2,3,5,16,12.0
8749,1,Female,Loyal Customer,30,Personal Travel,Eco,2876,4,4,4,4,2,5,5,4,4,4,4,3,4,5,34,31.0
8809,1,Female,Loyal Customer,69,Personal Travel,Eco,934,4,4,4,4,4,4,4,4,4,2,2,2,2,4,0,0.0
8852,0,Male,Loyal Customer,62,Personal Travel,Eco,2293,2,1,2,3,5,2,5,5,3,1,3,3,2,5,1,0.0
8875,0,Male,Loyal Customer,27,Personal Travel,Eco,1741,2,1,2,3,1,2,1,1,2,5,2,3,3,1,0,0.0
8888,0,Male,Loyal Customer,47,Personal Travel,Eco,2141,2,1,2,3,5,2,5,5,3,5,3,4,2,5,0,0.0
